id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description
53;48;1;3;96;97;0;"2012-05-24 14:04:50";"2013-11-14 03:46:20";3;0;1;1;"Celebrity look-a-like";;celebrity-look-a-like;;;
54;34;1;3;36;37;1;"2012-05-24 14:05:19";"2017-01-17 16:40:59";1;0;1;1;Classic;;classic;;;
55;34;1;3;38;39;1;"2012-05-24 14:05:30";"2017-01-17 16:41:04";2;0;1;1;"Mirrored Lens";;mirrored-lens;;;
56;34;1;3;40;41;1;"2012-05-24 14:05:40";"2017-01-17 16:41:10";3;0;1;1;Bold;;bold;;;
57;1;1;2;107;112;1;"2012-05-25 09:19:09";"2021-02-01 21:13:06";12;0;1;1;"Clear Lens";"<p>Clear Lens sunnies have gotten very popular in the past few years. Made popular by artists like Kanye West. There are many variations of Clear Lens sunglasses available online with 100% UV protection.</p>";clear-lens;"Clear Lens Sunglasses";"clear lens,clear lens sunglasses";"Clear Lens Sunglasses at Australia's favourite store for Sunglasses"
58;1;1;2;61;70;1;"2012-05-25 09:19:19";"2021-02-01 21:13:06";6;0;1;1;Polarised;"<p>We have many types of polarised sunglasses, from the classic styled polarised sunnies to polarised sports sunglasses in colours from blue to black and brown polarised sunglasses. Our range of non-branded and affordable polarised sunglasses provide customers across Australia with access to great styles for a fraction of the price of similar designer models. </p>";polarised;"Polarised Sunglasses, Polarised aviators, Polarised sunnies, polarised mens and womens sunglasses";"polarised,polarized,polarised sunglasses,polarised sport sunglasses,polarised sunnies,brown polarised sunglasses,black polarised sunglasses,polarised aviator,polarised mens sunglasses";"Polarised Sunglasses, Polarised aviators, Polarised sunnies, polarised mens and womens sunglasses at Australia's favourite store for non-branded and affordable sunglasses Sunnies.com.au"
70;58;1;3;62;63;1;"2012-05-25 14:47:41";"2017-04-03 16:13:52";2;0;1;1;"Classic style";;classic-style;;;
76;48;1;3;100;101;0;"2012-05-25 14:51:12";"2013-11-14 03:46:38";5;0;1;1;Children;;children;;;
78;48;1;3;102;103;0;"2012-05-25 14:52:53";"2013-11-14 03:47:02";6;0;1;1;Fitovers;;fitovers;;;
79;57;1;3;108;109;1;"2012-05-25 16:02:23";"2018-10-06 14:14:25";1;0;1;1;"Classic Clear Lens";;classic-clear-lens;"Classic Style Clear Lens Sunglasses";"fashion, sunglasses,clear lens,glasses";"Classic Style Clear Lens Fashion Sunglasses"
82;1;1;2;89;90;1;"2012-05-31 15:27:42";"2021-02-01 21:13:06";10;0;1;1;"All Sunnies";;all-sunnies;"All Sunglasses";;"All Sunglasses at Australia's favourite store for Sunglasses"
83;48;1;3;94;95;0;"2012-06-07 10:11:41";"2013-11-14 03:47:15";2;0;1;1;Retro;;retro;;;
85;1;1;2;123;126;1;"2012-07-20 13:21:21";"2021-02-01 21:13:06";14;0;1;1;"New Products - Import";;new-products-import;;;
86;85;1;3;124;125;0;"2012-08-29 16:52:07";"2013-11-14 03:48:43";1;0;1;1;"29 August";;29-august;;;
87;0;1;0;1;136;1;"2013-03-08 17:34:29";"2013-03-08 17:34:29";0;0;1;1;Root;;;;;
88;57;1;3;110;111;1;"2013-04-29 16:15:17";"2018-10-06 14:13:12";2;0;1;1;"Reading Glasses";;reading-glasses;"Reading Glasses with Clip on Sunglasses Lens";"reading glasses, low cost, clip on,sunglasses";"Reading Glasses 1.5 with Clip on Glasses Lens"
89;49;1;3;80;81;1;"2013-04-29 16:30:32";"2017-01-17 16:41:21";2;0;1;1;"Repair & Polish";;repair-polish;;;
92;1;1;2;131;132;1;"2013-11-15 03:52:45";"2021-02-01 21:13:06";17;0;1;1;Vintage;"<p>Vintage sunnies are more hipster than ever. Sunnies have been revived from the 50's and 60's, 70's and 80's. Classic vintage styles never go out of fashion. Choose from our range of affordable vintage look styles made famous by the greats.</p>";vintage;"Vintage Sunglasses";"vintage,vintage sunglasses,60s sunglasses,70s sunglasses,vintage sunnies";"Vintage Sunglasses at Australia's favourite store for Sunglasses"
93;1;1;2;57;60;1;"2013-11-15 03:53:57";"2021-02-01 21:13:06";5;0;1;1;Sports;"<p>Going to the beach? Want to take a ride on your bike or just get good protection from the sun? Our sport sunnnies will make sure you are protected while doing your favourite activities. Sport sunglasses are focused to fit snugly and to give you allround sun protection from all angles. Why not complement them with a pair of straps to make sure you don't lose them.</p>";sports;"Sport Sunglasses";"sport sunglasses,sport sunnies";"Sport Sunglasses at Australia's favourite store for Sunglasses"
94;1;1;2;87;88;1;"2013-11-15 20:20:22";"2021-02-01 21:13:06";9;0;1;1;Party;"<p>Our great range of affordable party sunnies are guaranteed to get you noticed at any party. With a huge range of glow in the dark wayfarer styles, sound reactive sunglasses, beer goggle glasses, martini glass sunglasses and other great party sunglasses we have your next party outfit covered. With Hens &amp; bucks party sunglasses to Elvis sunglasses we can make sure your party is a WOW in the crowd. </p>";party;"Affordable Party Sunglasses online, hens party sunglasses, bucks party sunglasses, glow in the dark party sunglasses";"party sunglasses,celebrity sunglasses,elvis sunglasses,hens party sunglasses,bucks party sunglasses,Steve urkel sunglasses,Steve urkel glasses,party sunnies,party glasses,wine glass sunglasses,beer goggles,beer sunglasses,glow in the dark glasses";"Affordable Party Sunglasses online, hens party sunglasses, bucks party sunglasses, glow in the dark party sunglasses our party sunglasses are available online at sunnies.com.au"
95;1;1;2;71;76;1;"2013-11-15 23:48:43";"2021-02-01 21:13:06";7;0;1;1;"Clip-on & Fitovers";"<p>Affordable clip-ons and fitovers to make sure you are protected from the sun. Clip-ons are a good way to change take your regular glasses and transform them into a pair of sunglasses. Both polarised clip on and UV400 clip-ons available. If your looking for greater coverage, try our range of quality fitovers. We have polarised fit overs and UV400 fitovers in a range of sizes and colours to suit all tastes.</p>";clip-on-fitovers;"Affordable Clip-on & Fitover Sunglasses, polarised and UV400";"clip-on sunglasses,fitovers sunglasses,fit over sunglasses,clip-on,fitover,clip on sunglasses,clip-on sunglasses,polarised clip on,polarised fitover,polarised clip-on,UV400 clipon,UV400 fitover";"Affordable Clip-on & Fitover Sunglasses, polarised and UV400 at Australia's favourite store for Sunglasses sunnies.com.au"
97;34;1;3;42;43;1;"2013-11-16 01:45:59";"2017-01-17 16:41:07";4;0;1;1;Revo;;revo;;;
98;1;1;2;113;122;1;"2014-03-18 23:56:30";"2021-02-01 21:13:06";13;0;1;1;"Autumn sale";;autumn-sale;"Autumn sale on Sunnies.com.au!";"sunnies.com.au,sale,autumn sale";"Check out our autumn sale with a sale of up to 50%!"
99;98;1;3;116;117;0;"2014-03-19 00:10:03";"2014-03-19 00:10:03";0;0;1;1;"10 %";;10-;;;
100;98;1;3;118;119;0;"2014-03-19 00:10:58";"2014-03-19 03:25:19";3;0;1;1;"15 %";;15-;;;
101;98;1;3;120;121;0;"2014-03-19 00:11:29";"2014-03-19 00:11:29";0;0;1;1;"20 %";;20-;;;
102;98;1;3;114;115;0;"2014-03-19 00:12:20";"2014-03-19 00:13:09";1;0;1;1;"25 %";;25-;;;
